Accession Number,Transcript Id,FPKM Value
NW_006431956.1,10259,3.55
NW_006429782.1,1026,8.36
NW_006431956.1,10260,4.17
NW_006431956.1,10261,4.89
NW_006431956.1,10262,4.96
NW_006431956.1,10263,4.05
NW_006431956.1,10264,5.08
NW_006431956.1,10265,1.8
NW_006431956.1,10266,5.58
NW_006431956.1,10267,6.31
NW_006431956.1,10268,4.7
NW_006431956.1,10269,5.8
NW_006429782.1,1027,3.29
NW_006431956.1,10270,3.54
NW_006431956.1,10271,5.19
NW_006431956.1,10272,7.7
NW_006431956.1,10273,10.59
NW_006431956.1,10274,0.0
NW_006431956.1,10275,6.98
NW_006431956.1,10276,5.7
NW_006431956.1,10277,2.91
NW_006431956.1,10278,9.58
NW_006431956.1,10279,3.22
NW_006429782.1,1028,3.06
NW_006431956.1,10280,2.55
NW_006431956.1,10281,4.54
NW_006431956.1,10282,0.0
NW_006431956.1,10283,0.0
NW_006431956.1,10284,0.0
NW_006431956.1,10285,3.38
NW_006431956.1,10286,18.02
NW_006431956.1,10287,15.54
NW_006431956.1,10288,3.65
NW_006431956.1,10289,4.82
NW_006429782.1,1029,12.6
NW_006431956.1,10290,3.25
NW_006431956.1,10291,1.47
NW_006431956.1,10292,24.07
NW_006431956.1,10293,5.71
NW_006431956.1,10294,0.0
NW_006431956.1,10295,1.52
NW_006431956.1,10296,3.99
NW_006431956.1,10297,1.93
NW_006431956.1,10298,4.62
NW_006431956.1,10299,9.09
NW_006429596.1,103,5.37
NW_006429782.1,1030,3.49
NW_006431956.1,10300,6.81
NW_006431956.1,10301,4.61
NW_006431956.1,10302,7.89
NW_006431956.1,10303,0.02
NW_006431956.1,10304,0.0
NW_006431956.1,10305,8.39
NW_006431956.1,10306,3.85
NW_006431956.1,10307,5.62
NW_006431956.1,10308,6.02
NW_006431956.1,10309,2.82
NW_006429782.1,1031,5.4
NW_006431956.1,10310,2.68
NW_006431956.1,10311,19.27
NW_006431956.1,10312,2.41
NW_006431956.1,10313,9.55
NW_006431956.1,10314,0.0
NW_006431956.1,10315,30.95
NW_006431956.1,10316,27.84
NW_006431956.1,10317,14.03
NW_006431956.1,10318,4.91
NW_006431956.1,10319,2.54
NW_006429782.1,1032,0.0
NW_006431956.1,10320,0.0
NW_006431956.1,10321,12.2
NW_006431956.1,10322,24.59
NW_006431956.1,10323,20.25
NW_006431956.1,10324,1.91
NW_006431956.1,10325,9.97
NW_006431956.1,10326,0.0
NW_006431956.1,10327,4.18
NW_006431956.1,10328,5.94
NW_006431956.1,10329,9.2
NW_006429782.1,1033,9.63
NW_006431956.1,10330,9.55
NW_006431956.1,10331,6.31
NW_006431956.1,10332,2.89
NW_006431956.1,10333,1.88
NW_006431956.1,10334,2.4
NW_006431956.1,10335,11.88
NW_006431956.1,10336,2.97
NW_006431956.1,10337,5.31
NW_006431956.1,10338,4.6
NW_006431956.1,10339,1.34
NW_006429782.1,1034,5.47
NW_006431956.1,10340,9.83
NW_006431956.1,10341,9.11
NW_006431956.1,10342,9.73
NW_006431956.1,10343,7.41
NW_006431956.1,10344,10.49
NW_006431956.1,10345,2.4
NW_006431956.1,10346,2.81
NW_006431956.1,10347,2.97
NW_006431956.1,10348,4.83
NW_006431956.1,10349,3.54
NW_006429782.1,1035,0.97
NW_006431956.1,10350,7.94
NW_006431956.1,10351,4.04
NW_006431956.1,10352,8.43
NW_006431956.1,10353,6.47
NW_006431956.1,10354,5.4
NW_006431956.1,10355,0.0
NW_006431956.1,10356,5.55
NW_006431956.1,10357,4.64
NW_006431956.1,10358,0.0
NW_006431956.1,10359,21.39
NW_006429782.1,1036,1.37
NW_006431956.1,10360,1.53
NW_006431956.1,10361,1.23
NW_006431956.1,10362,2.74
NW_006431956.1,10363,5.09
NW_006431956.1,10364,6.4
NW_006431956.1,10365,6.04
NW_006431956.1,10366,3.18
NW_006431956.1,10367,9.52
NW_006431956.1,10368,10.08
NW_006431956.1,10369,11.52
NW_006429782.1,1037,2.99
NW_006431956.1,10370,1.55
NW_006431956.1,10371,21.6
NW_006431956.1,10372,3.72
NW_006431956.1,10373,2.16
NW_006431956.1,10374,7.52
NW_006431956.1,10375,3.25
NW_006431956.1,10376,1.68
NW_006431956.1,10377,7.73
NW_006431956.1,10378,3.29
NW_006431956.1,10379,0.0
NW_006429782.1,1038,4.12
NW_006431956.1,10380,2.38
NW_006431956.1,10381,4.37
NW_006431956.1,10382,4.17
NW_006431956.1,10383,5.02
NW_006431956.1,10384,4.05
NW_006431956.1,10385,5.8
NW_006431956.1,10386,3.45
NW_006431956.1,10387,5.3
NW_006431956.1,10388,3.7
NW_006431956.1,10389,4.71
NW_006429782.1,1039,2.95
NW_006431956.1,10390,0.0
NW_006431956.1,10391,5.73
NW_006431956.1,10392,3.06
NW_006431956.1,10393,5.28
NW_006431956.1,10394,1.65
NW_006431956.1,10395,4.92
NW_006431956.1,10396,3.14
NW_006431956.1,10397,1.72
NW_006431956.1,10398,3.24
NW_006431956.1,10399,3.86
NW_006429596.1,104,4.06
NW_006429782.1,1040,9.38
NW_006431956.1,10400,1.75
NW_006431956.1,10401,0.0
NW_006431956.1,10402,2.1
NW_006431956.1,10403,0.0
NW_006431956.1,10404,0.0
NW_006431956.1,10405,16.03
NW_006431956.1,10406,3.85
NW_006431956.1,10407,1.14
NW_006431956.1,10408,12.25
NW_006431956.1,10409,7.91
NW_006429782.1,1041,1.17
NW_006431956.1,10410,24.27
NW_006431956.1,10411,11.02
NW_006431956.1,10412,3.45
NW_006431956.1,10413,0.55
NW_006431956.1,10414,16.45
NW_006431956.1,10415,3.24
NW_006431956.1,10416,13.93
NW_006431956.1,10417,14.75
NW_006431956.1,10418,0.85
NW_006431956.1,10419,4.62
NW_006429782.1,1042,3.47
NW_006431956.1,10420,41.3
NW_006431956.1,10421,4.84
NW_006431956.1,10422,2.1
NW_006431956.1,10423,7.45
NW_006431956.1,10424,5.39
NW_006431956.1,10425,10.73
NW_006431956.1,10426,4.58
NW_006431956.1,10427,4.13
NW_006434709.1,10428,3.41
NW_006434709.1,10429,5.42
NW_006429782.1,1043,7.25
NW_006434709.1,10430,193.5
NW_006431956.1,10431,5.91
NW_006431956.1,10432,7.73
NW_006431956.1,10433,5.48
NW_006431956.1,10434,0.7
NW_006431956.1,10435,6.48
NW_006431956.1,10436,5.44
NW_006431956.1,10437,0.0
NW_006431956.1,10438,0.0
NW_006431956.1,10439,8.05
NW_006429782.1,1044,1.7
NW_006431956.1,10440,5.88
NW_006431956.1,10441,5.34
NW_006431956.1,10442,5.32
NW_006431956.1,10443,46.4
NW_006431956.1,10444,4.02
NW_006431956.1,10445,6.05
NW_006431956.1,10446,16.57
