Accession,FPKM
XM_006907010.2,3.07
XR_001516430.1,3.99
XM_006907010.2,4.92
,,,
XM_015585677.1,8.14
XM_015585677.1,1.15
XM_015585677.1,2.7
XM_015585679.1,1.35
XM_015585677.1,0.0
XM_006907017.2,9.96
XM_006907017.2,0.0
XM_006907017.2,3.09
XM_006907017.2,0.84
XM_006907024.2,12.15
,,,
XM_006907021.2,3.05
XM_006907028.2,12.33
"100.00
",0.0
XM_006907032.2,8.57
XM_006907031.2,2.27
XM_006907031.2,8.48
XM_006906997.2,8.47
,,,
XM_015585590.1,255.03
XM_015585657.1,2.18
,,,
XM_006906937.2,99.92
,,,
XR_001516429.1,1.31
XR_001516429.1,2.66
,,,
,,,
,,,
,,,
XM_006906938.2,6.12
XM_006906938.2,3.68
,,,
,,,
,,,
XM_006906939.2,0.72
XM_006906939.2,2.43
"100.00
",2.77
XM_006906939.2,0.0
,,,
,,,
XM_006906939.2,1.72
XM_006906939.2,3.52
,,,
XR_001516437.1,1.86
,,,
XM_006906941.2,4.43
XM_006906941.2,4.3
XM_006906941.2,5.35
XM_006906941.2,5.24
XM_006906944.2,15.2
,,,
,,,
XM_015585653.1,2.53
,,,
XM_006906945.2,4.5
XM_006906945.2,6.45
,,,
,,,
,,,
,,,
XM_006906947.2,2.25
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006906950.2,3.12
XM_006906950.2,2.26
XM_006906951.2,6.22
,,,
,,,
,,,
,,,
XM_006906955.2,12.93
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006906957.2,6.88
XM_006906957.2,2.29
,,,
,,,
,,,
XM_015585593.1,8.53
,,,
,,,
"100.00
",9.59
XM_006903862.2,10.82
,,,
,,,
XM_006907040.2,4.42
XM_006907040.2,6.94
XM_006907040.2,6.28
XM_006907040.2,9.55
,,,
XM_006906958.2,1.98
XM_006906958.2,1.95
XM_006906958.2,0.0
XM_015585587.1,2.98
XM_006904037.2,7.76
XM_015585587.1,3.52
XM_015585583.1,4.57
XM_015585583.1,7.16
,,,
XR_001516433.1,2.11
,,,
,,,
,,,
,,,
,,,
XM_006904041.2,2.52
XM_015585628.1,9.11
XM_015585628.1,8.84
XM_015585628.1,6.87
XM_015585628.1,6.14
XM_015585628.1,5.3
XM_015585628.1,6.52
,,,
XM_006907042.1,3.51
,,,
,,,
XM_015599913.1,10.62
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585673.1,12.26
XM_006908171.2,8.97
,,,
,,,
XM_015599913.1,9.08
,,,
,,,
XM_006906971.2,0.0
,,,
,,,
,,,
,,,
,,,
XM_015585595.1,20.43
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"100.00
",8.53
"100.00
",4.91
"100.00
",7.67
"100.00
",5.62
,,,
,,,
,,,
,,,
