Accession,FPKM
XM_006907127.2,0.0
,,,
XM_006907128.2,5.39
XM_015585726.1,11.1
XM_015585726.1,14.35
,,,
XM_015600332.1,3.87
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585726.1,1.44
XM_006907106.2,10.56
,,,
XM_006907106.2,3.98
XM_006907108.2,63.91
XM_015585723.1,1.94
XM_006907112.2,8.11
XM_006907112.2,0.55
XM_006907112.2,6.22
XM_006907112.2,0.0
XM_015585732.1,12.16
XM_006907115.2,11.81
XM_015585732.1,2.39
"100.00
",0.99
XM_006907126.2,4.25
XM_006907126.2,1.13
XM_006907126.2,4.22
XM_006907127.2,14.49
XM_006907127.2,0.0
XM_006907127.2,0.0
XM_006907128.2,2.32
XM_006907128.2,3.95
XM_015585726.1,7.67
XM_015585726.1,1.26
"100.00
",13.39
XM_015585726.1,5.93
XM_015585726.1,3.89
XM_006907130.2,90.47
XM_015585726.1,1.42
XM_015585722.1,22.62
XM_015585722.1,25.51
XM_015585722.1,0.0
XM_015585730.1,23.73
XM_015585730.1,7.98
XM_006907109.2,18.56
,,,
XM_006907110.1,2.2
XM_006907110.1,5.28
XM_006907110.1,1.6
XM_006907111.2,51.45
XM_015585734.1,14.63
XM_015585733.1,1.73
XM_006907114.2,2.0
XM_006907117.2,4.83
XR_001516461.1,4.23
XM_006907123.2,0.0
XM_015585927.1,4.15
XM_006907124.2,14.05
XM_006907133.2,10.62
XM_015585718.1,12.45
XM_015585718.1,8.29
XM_015585744.1,3.34
XM_015585744.1,10.32
XM_015585745.1,31.02
XM_015585745.1,7.58
XM_006907144.2,21.69
XM_006907144.2,0.0
XM_015585927.1,6.93
XM_006907144.2,0.0
XM_006907144.2,3.91
XM_006907146.2,51.04
XM_015585746.1,1.88
XM_006907155.2,39.95
XM_015585736.1,3.61
XM_006907137.2,877.03
,,,
,,,
,,,
XM_015585927.1,4.95
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907140.2,6.06
,,,
,,,
XM_015591359.1,11.13
XM_006903855.2,5.35
XM_015585927.1,5.14
XM_006924424.2,5.03
,,,
XM_006907143.2,0.0
,,,
XM_006907144.2,7.61
,,,
,,,
,,,
,,,
,,,
XM_015598734.1,2.44
,,,
,,,
,,,
,,,
XM_006907155.2,4.57
XM_015590339.1,14.7
,,,
XM_006907142.2,13.38
XM_006907140.2,13.11
XM_006907142.2,5.09
XM_015598734.1,5.43
XM_006907143.2,0.0
XM_006907143.2,7.24
XM_006907143.2,3.56
XM_006907143.2,0.0
XM_006907145.2,11.1
XM_006907147.2,8.32
XM_006907147.2,6.42
XM_006907166.2,5.37
XM_006907166.2,6.78
XM_006907166.2,7.65
XR_001518000.1,1.57
XM_006907166.2,10.23
,,,
XM_006907168.2,8.23
XM_006907168.2,8.03
XM_006907168.2,8.64
XM_006907168.2,8.53
,,,
,,,
"100.00
",2.92
,,,
XR_001518000.1,2.39
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907171.2,0.0
XM_015585810.1,9.97
XM_015585810.1,11.67
,,,
XM_015585810.1,8.41
XM_015585810.1,14.9
XM_015585810.1,7.84
XM_015585810.1,6.27
,,,
,,,
,,,
,,,
XM_006907181.2,4.18
XM_006907181.2,1.62
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585847.1,4.63
XM_006907278.2,10.35
XM_006907278.2,14.65
"100.00
",6.05
XM_006907187.2,10.44
XM_006907279.2,3.7
XM_006907279.2,1.74
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"100.00
",1.75
,,,
,,,
XM_006907191.2,0.0
,,,
XM_006907193.2,0.0
,,,
,,,
,,,
XM_006907283.2,5.58
XM_006907283.2,10.76
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006904058.2,3.93
XM_015585825.1,0.0
XM_006907201.2,6.04
XM_006907201.2,7.67
XM_006907201.2,9.73
XM_006907203.2,3.21
XM_006907203.2,0.0
XM_006907203.2,4.98
XM_006907203.2,5.04
XM_006907203.2,6.15
,,,
,,,
,,,
,,,
XM_006907202.2,4.41
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585802.1,0.28
,,,
XM_006907220.2,4.49
XM_006907220.2,1.83
XM_006907220.2,7.62
XM_006907220.2,5.82
XM_006907220.2,8.64
,,,
,,,
,,,
,,,
XM_006907221.2,4.11
XM_006907221.2,3.94
XM_006907221.2,3.83
XM_006907221.2,5.17
XM_006907221.2,4.58
XM_006907221.2,3.42
XM_006907222.1,7.77
,,,
,,,
,,,
,,,
XM_015585794.1,2.17
,,,
,,,
,,,
,,,
,,,
,,,
XR_001516467.1,2.48
,,,
XM_015585852.1,7.91
,,,
XM_015585852.1,5.15
XM_006907232.2,2.46
XM_006907232.2,10.98
XM_006907232.2,3.92
,,,
,,,
,,,
,,,
,,,
XM_006907238.2,140.85
,,,
XM_006907238.2,105.07
,,,
,,,
,,,
XM_006907242.2,5.18
XM_006907242.2,2.23
,,,
XM_006907243.2,7.35
XM_015585797.1,0.0
,,,
"100.00
",3.31
XM_015585797.1,5.57
XM_015585754.1,7.55
XM_015585754.1,2.19
XM_015585754.1,4.03
XM_015585783.1,8.57
XM_015585781.1,1.15
XM_015585781.1,3.69
XM_015585781.1,0.0
,,,
,,,
,,,
XM_015585781.1,2.0
,,,
,,,
XM_015585781.1,3.71
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585766.1,8.05
,,,
XM_006907255.2,22.64
XM_006907256.2,7.58
XM_006907258.2,0.72
XM_006907258.2,9.67
XM_006907260.2,9.57
XM_006907260.2,0.0
,,,
XM_006907260.2,5.1
XM_015585788.1,10.55
XM_015585788.1,7.49
,,,
,,,
XM_006907263.2,3.41
XM_006907263.2,2.73
,,,
,,,
,,,
,,,
XM_015585798.1,12.2
,,,
XM_006907266.2,5.35
XM_006907267.2,5.06
XM_006907267.2,9.24
XM_006907267.2,0.69
XM_006904107.2,4.66
XM_015585768.1,7.01
XM_015585770.1,4.2
,,,
,,,
,,,
,,,
XM_006907274.2,0.0
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907278.2,3.77
,,,
,,,
,,,
XM_015585768.1,0.0
,,,
"96.20
",112.72
XM_006907237.2,10.12
XM_015585817.1,0.0
XM_015585817.1,0.42
XM_006907188.2,6.51
,,,
XM_006904059.2,0.0
XM_006907222.1,0.77
XM_006907223.2,6.38
"100.00
",0.0
XM_006907252.2,0.0
XM_006907278.2,0.0
XM_006907168.2,8.43
XM_006907168.2,0.0
XM_006907168.2,7.04
XM_006907168.2,5.78
XM_006907171.2,10.22
XR_001516449.1,3.19
XM_015585811.1,6.71
XM_015585810.1,0.84
XM_015585811.1,1.17
XM_006907176.2,25.81
XM_006907176.2,0.96
XM_006907182.2,65.51
XM_006907184.2,13.0
XM_015585847.1,4.12
XM_006907186.2,3.37
XM_006907186.2,0.98
XR_001516449.1,1.88
XM_015585847.1,1.06
XM_015585847.1,6.05
XM_006907278.2,5.94
XM_006907278.2,4.76
XM_006907187.2,13.67
XM_015585843.1,1.8
XM_006907279.2,3.9
XR_001516468.1,8.78
XM_015585757.1,0.0
XM_006907194.2,5.63
XR_001516449.1,1.2
XM_006907194.2,3.35
XM_006907194.2,22.1
XM_015585774.1,3.21
XM_006907201.2,8.13
XM_006907201.2,0.0
XM_015585851.1,0.0
XM_015585851.1,0.0
XM_006907202.2,6.19
XM_006907203.2,4.34
XM_006907202.2,2.07
XR_001516449.1,4.96
XM_006907202.2,3.19
XM_006907211.2,2.11
XM_006907215.2,7.0
XM_006907215.2,0.0
XM_015585801.1,10.87
XM_015585802.1,9.35
XM_006907219.2,0.72
XM_006907219.2,10.6
XM_006907221.2,5.68
XM_006907221.2,0.0
,,,
XR_001516449.1,3.11
XM_006907221.2,4.97
XM_006907221.2,8.25
XM_006907222.1,3.3
XM_006907222.1,4.16
XM_006907222.1,3.11
XM_006907222.1,3.17
XM_006907222.1,5.49
XM_006907222.1,2.85
XM_015585834.1,5.47
XM_015585834.1,0.0
XR_001516449.1,3.74
XM_006907223.2,0.0
XM_015585830.1,4.25
XR_001516467.1,16.51
XM_006907233.2,60.7
XM_015585764.1,4.02
XM_015585764.1,5.6
XM_006907238.2,49.1
XM_015585806.1,0.0
XM_015585805.1,75.93
XM_006907237.2,0.0
XR_001516449.1,4.77
XM_015585792.1,16.73
XM_015585792.1,0.0
XM_015585792.1,0.0
XM_015585792.1,0.0
XM_006907244.2,20.1
XM_015585792.1,12.64
XM_015585797.1,17.34
XM_006907245.2,2.31
XM_006907245.2,10.6
XM_006907245.2,6.75
XM_006904060.2,4.22
