Accession,FPKM
XM_015585593.1,5.44
XR_001516446.1,0.0
XM_006907040.2,0.0
XM_006906959.2,8.05
,,,
XM_015585616.1,5.88
XM_015585629.1,5.34
XM_015585628.1,5.32
XM_006906966.2,46.4
XM_006907042.1,4.02
XM_006907042.1,6.05
XM_006906968.2,16.57
XM_006906967.2,13.28
XM_015585673.1,0.0
XM_006906969.2,9.2
,,,
XM_015585658.1,4.03
XM_015585659.1,13.49
,,,
XM_006907046.2,10.59
XM_015585595.1,2.44
XM_006906975.2,22.28
XM_006906975.2,1.54
"100.00
",5.61
XM_006906976.2,5.25
XM_006906976.2,6.8
,,,
XM_015585631.1,2.09
XM_006906983.2,12.6
XM_006906988.2,2729.92
XM_006906988.2,14.46
XM_006906988.2,8.86
XM_006906988.2,8.16
XM_006906988.2,13.01
XM_006906988.2,10.86
XM_006906989.2,39.38
XM_015585664.1,0.0
XR_001516484.1,0.92
XM_006906998.2,10.26
XM_006907056.2,3.8
XM_006907056.2,0.89
XM_006907056.2,1.43
XM_006907056.2,0.4
XM_006907056.2,1.8
XM_006907056.2,5.89
XM_006907056.2,9.15
XM_006907056.2,0.0
XM_006907000.2,1.54
,,,
XM_006907000.2,22.71
XM_006907000.2,1.62
XM_006907001.2,9.95
XM_006907008.2,22.41
XM_006907008.2,3.58
XM_015585623.1,1.85
XM_015585626.1,2.48
XM_015585620.1,3.86
XM_015585621.1,4.03
XM_015585620.1,2.28
,,,
XM_015585621.1,10.14
XM_015585621.1,0.0
XM_015585621.1,10.19
XM_015585623.1,1.49
XM_015585621.1,7.13
XM_015585621.1,4.69
XM_015585581.1,3.05
XM_015585581.1,1.03
XM_006907016.2,9.49
XM_006907020.1,9.38
,,,
,,,
XM_006907020.1,0.0
XM_006907020.1,8.77
XM_006907020.1,0.0
XM_006907020.1,0.0
XM_006907030.2,5.78
XM_006907029.2,15.25
XM_006907030.2,2.37
XM_006907033.2,70.89
XM_006906963.2,5.14
,,,
,,,
,,,
,,,
XM_015585688.1,2.22
XM_015585684.1,15.08
XM_015585684.1,8.73
XM_015585684.1,4.73
XM_015585686.1,10.51
XM_015585686.1,4.02
XM_006907063.2,15.18
XM_015585688.1,5.5
XM_006927036.2,6.17
XM_015585688.1,148.93
,,,
"100.00
",12.65
XM_006907072.2,12.3
XM_006907073.2,48.54
,,,
XM_015585693.1,4.26
XM_015585693.1,1.55
XM_015585693.1,9.62
XM_015585693.1,2.82
"100.00
",5.17
XM_015585693.1,2.96
XM_015585693.1,0.0
XM_015585696.1,4.11
XM_015585696.1,0.0
XM_015585696.1,8.11
XM_015585696.1,0.72
XM_015585696.1,1.78
XM_015585696.1,2.5
XM_015585696.1,1.26
XM_015585696.1,1.07
,,,
XM_015585696.1,4.33
XM_015585696.1,0.0
XM_006907081.2,5.2
XM_006907081.2,2.96
XM_006907081.2,9.25
XM_006907081.2,8.6
XM_015585700.1,4.65
XM_015585702.1,11.97
XM_015585714.1,7.17
XM_015585714.1,3.49
,,,
XM_015585714.1,2.64
XM_015585714.1,3.43
XM_015585706.1,27.15
XM_015585708.1,5.2
XM_015585708.1,138.94
XM_015585708.1,0.52
XM_015585693.1,0.8
XM_006907096.2,12.09
XM_006907072.2,13.14
XM_015585712.1,17.3
,,,
XM_015585713.1,5.83
XM_015585712.1,2.31
XM_006907077.2,0.0
XM_006907077.2,0.59
XM_006907077.2,13.27
XR_001516459.1,0.0
XR_001516453.1,3.58
XR_001516453.1,2.05
XR_001516453.1,2.62
XR_001516452.1,6.08
,,,
XM_015585715.1,55.77
XM_015585715.1,18.19
,,,
XM_015585701.1,8.87
XM_015585701.1,3.39
XM_006907082.2,11.91
XM_006907082.2,18.76
XM_006907082.2,5.91
XM_015585705.1,4.28
XM_015585705.1,4.85
,,,
XM_015585705.1,8.18
XM_015585705.1,26.33
XM_015585705.1,9.8
XM_015585717.1,16.46
XM_015585705.1,18.51
,,,
XM_006907073.2,3.7
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006903855.2,8.54
,,,
,,,
,,,
,,,
XM_015585712.1,5.4
,,,
XM_015585712.1,3.91
XM_015585712.1,10.44
XM_006907077.2,13.99
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585693.1,0.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XR_001516451.1,2.31
XM_006907081.2,3.37
,,,
XM_006907081.2,15.92
,,,
,,,
,,,
XR_001516459.1,9.28
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XR_001516453.1,2.87
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"100.00
",4.18
,,,
XM_006907089.2,30.14
,,,
XM_015585717.1,3.17
,,,
,,,
,,,
,,,
,,,
"100.00
",2.6
,,,
,,,
XM_015587458.1,4.47
,,,
,,,
XM_015585701.1,4.53
,,,
XM_015585701.1,3.84
,,,
XM_015585701.1,2.46
XM_015585701.1,6.41
,,,
,,,
XM_015585701.1,4.81
,,,
XM_015585701.1,8.79
XM_015585701.1,6.77
,,,
,,,
,,,
,,,
XM_006907096.2,13.63
XM_006907096.2,10.03
XM_006907096.2,2.83
XM_006907096.2,2.36
,,,
,,,
XM_015585704.1,21.63
XM_015585704.1,17.69
XM_015585705.1,20.88
XM_015585705.1,13.68
,,,
XM_015585714.1,2.74
,,,
,,,
,,,
XM_015586208.1,4.82
,,,
,,,
,,,
XM_015585706.1,4.52
,,,
XM_015585706.1,4.03
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585696.1,1.23
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585722.1,28.39
,,,
XM_015585722.1,26.77
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907106.2,14.91
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907109.2,0.0
,,,
,,,
,,,
,,,
XM_006907111.2,3.39
,,,
,,,
XM_006907112.2,6.94
XM_006907112.2,0.0
XM_015585732.1,4.76
XM_015585732.1,6.43
XM_015585732.1,7.76
XM_015585732.1,5.6
XM_015585732.1,6.14
XM_015585732.1,8.87
XM_006907117.2,3.24
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907124.2,17.2
XM_006907124.2,5.78
XM_006907126.2,7.94
XM_006907126.2,5.8
XM_006907126.2,6.35
,,,
XM_006907126.2,1.89
XM_006907126.2,5.5
XM_006907126.2,0.0
XM_006907133.2,5.42
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585726.1,11.13
XM_015585726.1,15.12
,,,
,,,
XM_015585726.1,4.26
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907121.2,55.94
XM_015585732.1,0.0
XM_015586941.1,18.54
,,,
XM_006907106.2,22.42
XM_006907108.2,67.69
XM_006907112.2,5.44
XM_006907112.2,7.6
XM_006907115.2,9.94
XM_006907115.2,0.67
XM_006907126.2,5.94
XM_006907126.2,3.68
XM_006907127.2,3.45
XM_006907127.2,9.37
XM_015600332.1,2.01
XM_006907127.2,0.38
XM_006907127.2,1.96
XM_015585726.1,4.8
XM_015585726.1,10.48
XM_015585726.1,16.02
XM_015585726.1,13.3
,,,
XM_015585722.1,25.2
,,,
XM_006907109.2,14.86
XM_015600332.1,1.46
XM_015585730.1,1.48
XM_006907109.2,15.54
XM_015585730.1,1.98
XM_006907110.1,0.0
XM_006907110.1,0.78
XM_015585731.1,10.68
XM_006907111.2,46.02
XM_006907114.2,10.08
XM_015585733.1,13.33
XM_015585733.1,1.88
XM_015600332.1,2.11
XM_015585734.1,0.0
XM_006907117.2,3.25
XM_006907117.2,2.09
XM_006907123.2,8.86
XM_006907123.2,0.81
XM_015585718.1,1.9
XM_006907124.2,15.34
XM_006907133.2,6.92
XM_006907133.2,7.19
XM_006907137.2,829.52
XM_015600332.1,4.11
XM_015585745.1,19.6
XM_006907144.2,21.0
XM_006907144.2,5.87
XM_006907144.2,0.56
XM_015585746.1,0.0
XM_015585746.1,7.59
XM_006907146.2,49.57
XM_006907147.2,7.37
XM_006907160.2,2.47
XM_006907155.2,32.33
XM_015600332.1,4.32
XM_006907155.2,10.57
XM_015585736.1,5.71
"93.78
",4.25
,,,
,,,
,,,
,,,
XM_015585744.1,5.77
,,,
,,,
XM_015600332.1,3.13
,,,
,,,
,,,
XM_006907142.2,1.66
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585927.1,6.27
XM_006907144.2,8.43
XM_006907144.2,8.61
XM_006907144.2,0.0
,,,
,,,
,,,
,,,
XM_006907144.2,24.14
XM_006907147.2,1.97
,,,
XM_015585927.1,5.94
,,,
,,,
,,,
,,,
,,,
XM_006907155.2,2.27
XM_006907155.2,6.1
XM_006907155.2,26.62
XM_015585736.1,3.03
XM_015585736.1,3.54
XM_015585920.1,1.55
XM_015590339.1,3.64
XM_006907145.2,4.58
,,,
XM_006907140.2,6.55
XM_006907141.2,6.74
XM_006907142.2,3.04
XM_006907142.2,26.99
XM_006907143.2,8.04
XM_006907145.2,11.13
